url,marca,modelo,año,precio,imagen
https://articulo.tucarro.com.co/MCO-3164159628-bmw-330e-g20-edicion-m-hibrido-enchufable-lci-_JM,BMW,Serie 3,2025,254900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3164159628.webp
https://articulo.tucarro.com.co/MCO-3193369914-bmw-x3-20-xdrive30i-_JM,BMW,X3,2020,149900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3193369914.webp
https://articulo.tucarro.com.co/MCO-2918090988-bmw-x3-20-g01-xdrive30i-_JM,BMW,X3,2018,119900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/2918090988.webp
https://articulo.tucarro.com.co/MCO-3156494274-bmw-120-confort-_JM,BMW,120,2019,86990000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3156494274.webp
https://articulo.tucarro.com.co/MCO-3156610128-bmw-x1-20-f48-sdrive-18d-_JM,BMW,X1,2017,90900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3156610128.webp
https://articulo.tucarro.com.co/MCO-1685211127-bmw-x5-30-xdrive35i-_JM,BMW,X5,2017,116000000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1685211127.webp
https://articulo.tucarro.com.co/MCO-3093766708-bmw-x5-44-xdrive50i-_JM,BMW,X5,2017,150900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3093766708.webp
https://articulo.tucarro.com.co/MCO-1708498871-nissan-versa-16-advance-_JM,Nissan,Versa,2019,44990000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1708498871.webp
https://articulo.tucarro.com.co/MCO-3220681436-nissan-kicks-avance-at-16-2022-_JM,Nissan,Kicks,2022,84900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3220681436.webp
https://articulo.tucarro.com.co/MCO-1702680983-nissan-frontier-diesel-mt-25-44-2020-_JM,Nissan,Frontier,2020,106900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1702680983.webp
https://articulo.tucarro.com.co/MCO-3220722724-nissan-frontier-mt-estaca-diesel-25-44-2020-_JM,Nissan,Frontier,2020,139900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3220722724.webp
https://articulo.tucarro.com.co/MCO-1708433197-nissan-march-advance-blanco-16-2023-at-_JM,Nissan,March,2023,63900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1708433197.webp
https://articulo.tucarro.com.co/MCO-3226163602-mercedes-benz-glc-300-_JM,Mercedes-Benz,GLC 300,2020,141900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3226163602.webp
https://articulo.tucarro.com.co/MCO-3183800914-mercedes-benz-glb-250-hibrida-7-puestos-_JM,Mercedes-Benz,GLB-250,2026,239900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3183800914.webp
https://articulo.tucarro.com.co/MCO-1640854281-mercedes-benz-glb250-20-hibrido-ligero-2026-_JM,Mercedes-Benz,Clase GLB,2026,239900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1640854281.webp
https://articulo.tucarro.com.co/MCO-1706253361-mercedes-benz-g580-eq-2025-_JM,Mercedes-Benz,G580,2025,1180000000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1706253361.webp
https://articulo.tucarro.com.co/MCO-1571857427-gla-250-4matic-mod-2026-_JM,Mercedes-Benz,Clase GLA,2026,229900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1571857427.webp
https://articulo.tucarro.com.co/MCO-1698320611-taos-comfortline-select-my-2025-_JM,Volkswagen,Taos,2025,117990000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1698320611.webp
https://articulo.tucarro.com.co/MCO-3093631280-volkswagen-taos-comfortline-select-my-2025-_JM,Volkswagen,Taos,2025,117590000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3093631280.webp
https://articulo.tucarro.com.co/MCO-1690889591-volkswagen-tiguan-nf-life-my2025-_JM,Volkswagen,Tiguan,2025,149990000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1690889591.webp
https://articulo.tucarro.com.co/MCO-1660546459-volkswagen-jetta-gli-my2025-_JM,Volkswagen,Jetta,2025,152870000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1660546459.webp
https://articulo.tucarro.com.co/MCO-3065748234-taos-highline-250-tsi-at-my-2025-_JM,Volkswagen,Taos,2025,139990000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3065748234.webp
https://articulo.tucarro.com.co/MCO-1627314547-polo-trendline-16l-mt-my-2026-_JM,Volkswagen,Polo,2026,72490000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1627314547.webp
https://articulo.tucarro.com.co/MCO-3164070276-volkswagen-teramont-highline-_JM,Volkswagen,Teramont,2022,158900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3164070276.webp
https://articulo.tucarro.com.co/MCO-3021828732-volkswagen-teramont-highline-_JM,Volkswagen,Teramont,2022,162900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3021828732.webp
https://articulo.tucarro.com.co/MCO-3093780000-volkswagen-tera-black-edition-my2026-_JM,Volkswagen,Tera,2026,98970000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3093780000.webp
https://articulo.tucarro.com.co/MCO-1701511019-volkswagen-taos-14-tsi-highline-_JM,Volkswagen,Taos,2022,114900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1701511019.webp
https://articulo.tucarro.com.co/MCO-1587857337-kia-sorento-entrega-inmediata-hoy-precio-especial-_JM,Kia,Sorento,2025,220990000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1587857337.webp
https://articulo.tucarro.com.co/MCO-1691741265-kia-niro-desire-hybrid-bono-de-matricula-_JM,Kia,Niro Hibrido,2026,131990000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1691741265.webp
